"Area","Parameter","N_years","50%","2.5%","25%","75%","97.5%","Evidence"
"Åfjord","Lambda",15,-0.5985832535627792,-0.7027336166549071,-0.6379017619703709,-0.5514838953298595,-0.43357689278735334,"**"
"Åfjord","Recruitment",15,0.7029568470953046,0.5238826921695339,0.6437528704076554,0.7588244227102896,0.845238691146654,"**"
"Åfjord","Survival",15,-0.7093772818229844,-0.829858547289325,-0.7573125833007853,-0.6538899690636515,-0.5213687460092037,"**"
"Ålen og Haltdalen Fjellstyre","Lambda",13,-0.35832109915264576,-0.4880275974678837,-0.3935195859081065,-0.32669924003175366,-0.2653771564493125,"**"
"Ålen og Haltdalen Fjellstyre","Recruitment",13,-0.15840633677685398,-0.3670818488410007,-0.22559649719333996,-0.09452427248517369,0.05377353379812061,"*"
"Ålen og Haltdalen Fjellstyre","Survival",13,-0.31162102874404163,-0.44308003650252836,-0.35321805459868383,-0.27048388688840924,-0.18999301443758185,"**"
"Budal Fjellstyre","Lambda",6,-0.4504104688234969,-0.5897195919841175,-0.5012002009258437,-0.39335741208368524,-0.24829686019888098,"**"
"Budal Fjellstyre","Recruitment",6,0.10529769786257648,-0.40558005229235106,-0.08062499158082456,0.28367543112640964,0.5983057500791498,"-"
"Budal Fjellstyre","Survival",6,-0.454533532962027,-0.6442141565627426,-0.5231256894909855,-0.3767143877762821,-0.1909659645872395,"**"
"Dovre Fjellstyre","Lambda",15,-0.7068382112775276,-0.8250403835510904,-0.7491130223898013,-0.6634786787900933,-0.5853323866396349,"**"
"Dovre Fjellstyre","Recruitment",15,0.5910287760679371,0.336634558946242,0.5135065449128897,0.660201051203448,0.7715611514923517,"**"
"Dovre Fjellstyre","Survival",15,-0.6817288467270648,-0.816153007485622,-0.7333605437758312,-0.6225294109893332,-0.47213029306029175,"**"
"Eidfjord Fjellstyre","Lambda",15,-0.4489352973100803,-0.5472605774426502,-0.48313175331742425,-0.4125191262402651,-0.3430050380858859,"**"
"Eidfjord Fjellstyre","Recruitment",15,0.5272348285511759,0.4238930551614561,0.4914404480573736,0.562351472927957,0.6284129001008749,"**"
"Eidfjord Fjellstyre","Survival",15,-0.5357804093856026,-0.657279600864342,-0.5802256148758073,-0.48958168988748874,-0.39832982533315425,"**"
"Engerdal Fjellstyre","Lambda",15,-0.5385879055971059,-0.6201123816755258,-0.5667958668896357,-0.5095096952186089,-0.4554322696537023,"**"
"Engerdal Fjellstyre","Recruitment",15,0.7398473002164969,0.6481089683750807,0.7088755932098854,0.7674676421248297,0.8166834421726089,"**"
"Engerdal Fjellstyre","Survival",15,-0.6554187535602624,-0.7300228955268536,-0.6815201506530452,-0.6271028125761057,-0.5684785637033501,"**"
"Fron Fjellstyre","Lambda",12,-0.6872253925606259,-0.7889270079226081,-0.7256945401574527,-0.6464713410220688,-0.5645226113846866,"**"
"Fron Fjellstyre","Recruitment",12,0.4420932979670663,0.16160554144131922,0.34623442509823527,0.5314449009962093,0.6829831395655217,"**"
"Fron Fjellstyre","Survival",12,-0.7306821423509788,-0.8616647094939391,-0.7807007094297804,-0.6736197985580465,-0.5548767336660929,"**"
"Gausdal Fjellstyre","Lambda",15,-0.7420762524709701,-0.8097221210067029,-0.7653985528937348,-0.7185584940839016,-0.6720612601576867,"**"
"Gausdal Fjellstyre","Recruitment",15,0.6369973513792611,0.4993097562360495,0.5918477651607694,0.6804045208763772,0.7539984775955563,"**"
"Gausdal Fjellstyre","Survival",15,-0.6896718650279436,-0.8155526574848352,-0.737471967489695,-0.638509350140353,-0.5237248872078439,"**"
"Helgeland 1","Lambda",15,-0.6279430535738066,-0.7025373563157371,-0.6536390093630527,-0.6028572737408457,-0.5540687375801918,"**"
"Helgeland 1","Recruitment",15,0.7012184232063747,0.5720051671087,0.6592110654430886,0.7399040951141145,0.808103362089118,"**"
"Helgeland 1","Survival",15,-0.7543850589685495,-0.8239228700327692,-0.7790176456462325,-0.7289933864786664,-0.6793320441550735,"**"
"Helgeland 2","Lambda",15,-0.7021101645695019,-0.7668906440187118,-0.7250405692194367,-0.6793059129409241,-0.6345130502310758,"**"
"Helgeland 2","Recruitment",15,0.7196324948753314,0.6078886634923768,0.6821125985886987,0.7540665563833326,0.8137967639900697,"**"
"Helgeland 2","Survival",15,-0.7782312059381655,-0.8370717525335307,-0.7996763176870886,-0.7549889151199705,-0.7039370509883274,"**"
"Helgeland 3","Lambda",15,-0.5828278694621839,-0.6990107233720902,-0.6241302490992235,-0.5374592671072728,-0.44008841644550356,"**"
"Helgeland 3","Recruitment",15,0.41507661609933233,0.2864968233566726,0.3708457407009077,0.4587954296098809,0.5425038046519514,"**"
"Helgeland 3","Survival",15,-0.6294815804080112,-0.750650522313196,-0.6740158067082107,-0.5795877344336233,-0.47442212838379105,"**"
"Indre Finnmark","Lambda",15,-0.563247044283848,-0.631201993881203,-0.5865149796407066,-0.5404397490921025,-0.4980004419505235,"**"
"Indre Finnmark","Recruitment",15,0.756315401087018,0.6626289483978047,0.7248163014874272,0.7857592138764709,0.8365306760136826,"**"
"Indre Finnmark","Survival",15,-0.7413556553335121,-0.8017362677819346,-0.7624027024357446,-0.7196742593985039,-0.6783870685689901,"**"
"Indre Salten","Lambda",15,-0.6441396806132949,-0.723251502679262,-0.6711512152611967,-0.6175195313984985,-0.5657030875414573,"**"
"Indre Salten","Recruitment",15,0.8343314458897251,0.5985991216711863,0.7767583766102968,0.8774523544090937,0.9334961496946849,"**"
"Indre Salten","Survival",15,-0.7641576514464599,-0.8581753166330891,-0.797851341253231,-0.7285218113108066,-0.6526737532302322,"**"
"Kongsvoll","Lambda",13,-0.5517173271871992,-0.6701144780856784,-0.5941055612553989,-0.5139161547441726,-0.45538914340076286,"**"
"Kongsvoll","Recruitment",13,0.4060963092596624,0.1346471071430431,0.3199744124238123,0.4890305093674631,0.6369267121050219,"**"
"Kongsvoll","Survival",13,-0.5481317480892959,-0.6604004274916151,-0.584915112853531,-0.5132648456253581,-0.4432226847089452,"**"
"Kvikne Fjellstyre","Lambda",15,-0.6932472676919137,-0.7560008626053625,-0.7149604539851504,-0.6713038940969607,-0.6294724393864464,"**"
"Kvikne Fjellstyre","Recruitment",15,0.7448173213072264,0.6796100667262216,0.7231412574504064,0.7662206199400985,0.8049570073608806,"**"
"Kvikne Fjellstyre","Survival",15,-0.7051329529650778,-0.765634074065715,-0.7267986794358684,-0.6823274875235711,-0.639426921312179,"**"
"Lesja Fjellstyre","Lambda",15,-0.45799344798663466,-0.5737304420807388,-0.4977002954879295,-0.4186724750297144,-0.34242987952354265,"**"
"Lesja Fjellstyre","Recruitment",15,0.3331583828919783,0.13562231946781309,0.26513469177904025,0.4010409933285552,0.5204917464401232,"**"
"Lesja Fjellstyre","Survival",15,-0.44498916197217087,-0.6008303083689622,-0.5008076795000371,-0.3875236795877173,-0.2601508214719471,"**"
"Lierne Fjellstyre","Lambda",15,-0.2851583560410465,-0.41768200104258796,-0.3260351102265933,-0.24836974776357507,-0.1873407366975881,"**"
"Lierne Fjellstyre","Recruitment",15,0.3005071110387423,0.19436883093328144,0.262356781069932,0.3427555263975231,0.44071962081202454,"**"
"Lierne Fjellstyre","Survival",15,-0.38219954473439716,-0.5099657213156966,-0.42127723253776234,-0.34561266701093396,-0.2826971995904335,"**"
